exam1,exam2,exam3,exam4
40,45,34,80
80,76,34,94
82,49,35,76
80,47,41,64
82,72,42,92
88,48,42,58
90,76,43,88
92,55,44,86
92,48,44,80
64,57,46,52
72,63,46,80
56,68,47,94
74,53,47,74
66,48,49,60
82,74,49,94
66,64,50,84
72,58,51,62
82,57,51,86
98,46,51,84
80,82,53,82
90,56,53,46
74,45,53,88
76,58,54,44
92,72,55,82
98,48,56,86
82,45,56,92
90,55,56,88
86,64,58,74
40,50,60,62
76,65,60,90
96,62,60,82
90,60,62,78
68,57,62,84
78,89,62,96
92,65,63,90
90,64,64,94
90,62,64,92
80,59,65,42
82,52,66,84
76,60,67,86
50,56,70,80
56,74,70,84
90,51,73,68
80,53,74,70
90,59,74,74
76,45,75,34
48,60,78,80
60,67,79,88
44,49,82,78
64,68,83,78
